År,Måned,Antall_par,Omsetning_total,Dekningsgrad_prosent
2023,1,414.0,283752.0,50.3
2023,2,1022.0,399188.0,26.0
2023,3,850.0,384118.0,29.6
2023,4,856.0,555631.0,53.6
2023,5,858.0,664504.0,60.0
2023,6,765.0,582655.0,60.2
2023,7,643.0,386901.0,51.8
2023,8,931.0,525107.0,45.3
2023,9,837.0,598370.0,49.4
2023,10,625.0,519424.0,56.9
2023,11,701.0,618438.0,58.4
2023,12,539.0,523997.0,60.4
2024,1,516.0,375455.0,47.9
2024,2,896.0,414631.0,27.7
2024,3,683.0,374151.0,38.1
2024,4,1161.0,743985.0,50.3
2024,5,984.0,720692.0,58.8
2024,6,782.0,574471.0,55.5
2024,7,806.0,490352.0,47.7
2024,8,973.0,534380.0,39.6
2024,9,1085.0,635876.0,37.4
2024,10,610.0,504273.0,53.5
2024,11,643.0,566172.0,57.4
2024,12,639.0,597805.0,59.4
2025,1,600.0,418783.0,46.2
2025,2,543.0,337207.0,34.5
2025,3,941.0,610748.0,44.9
2025,4,1066.0,718095.0,53.3
2025,5,1072.0,766805.0,54.6
2025,6,878.0,606886.0,53.3
2025,7,875.0,519349.0,47.6
2025,8,1168.0,597728.0,38.9
2025,9,1437.0,801969.0,39.7
2025,10,693.0,574097.0,52.5
2025,11,906.0,743468.0,51.2
2025,12,621.0,573510.0,58.1
