Filnavn,Dato,Verdi_1,Verdi_2,Verdi_3,Verdi_4,Verdi_5,Verdi_6,Verdi_7,Verdi_8
Dagsalgsrapport jan23.pdf,1,Side,9:55,Kl.,5.03.26,Dato,LIS010,***,DAGSALGSRAPPORT
Dagsalgsrapport jan23.pdf,1,280,"44,21",5318,633,12029,354,12383,19
Dagsalgsrapport jan23.pdf,3,523,"55,55",3659,941,6586,1295,7882,7
Dagsalgsrapport jan23.pdf,2,135,"32,25",2574,420,7982,751,8733,19
Dagsalgsrapport jan23.pdf,4,372,"49,41",7811,753,15810,900,16710,21
Dagsalgsrapport jan23.pdf,3,165,"41,06",3803,403,9262,418,9679,23
Dagsalgsrapport jan23.pdf,5,406,"54,24",5279,749,9732,736,10468,13
Dagsalgsrapport jan23.pdf,4,162,"38,24",3408,424,8911,639,9550,21
Dagsalgsrapport jan23.pdf,6,306,"47,08",3982,651,8458,692,9150,13
Dagsalgsrapport jan23.pdf,5,201,"41,88",3016,480,7201,642,7843,15
Dagsalgsrapport jan23.pdf,7,294,"51,37",7348,572,14305,757,15062,25
Dagsalgsrapport jan23.pdf,6,257,"44,04",4361,582,9902,1584,11486,17
Dagsalgsrapport jan23.pdf,8,336,"47,15",5708,712,12106,1356,13462,17
Dagsalgsrapport jan23.pdf,7,9,8,219,"40,46",4159,541,10278,518
Dagsalgsrapport jan23.pdf,19,10,386,"55,61",5787,694,10406,1532,11938
Dagsalgsrapport jan23.pdf,15,9,179,"40,89",2504,437,6124,120,6244
Dagsalgsrapport jan23.pdf,14,11,368,"51,31",7369,718,14362,818,15180
Dagsalgsrapport jan23.pdf,20,10,201,"41,88",3424,481,8176,703,8879
Dagsalgsrapport jan23.pdf,17,12,329,"49,38",6576,666,13316,2094,15410
Dagsalgsrapport jan23.pdf,20,11,160,"41,25",2558,388,6201,316,6517
Dagsalgsrapport jan23.pdf,16,13,222,"46,35",2886,479,6227,1380,7607
Dagsalgsrapport jan23.pdf,13,12,165,"35,61",2807,464,7882,619,8501
Dagsalgsrapport jan23.pdf,17,14,339,"51,27",4408,661,8597,842,9439
Dagsalgsrapport jan23.pdf,13,13,115,"33,99",1497,339,4404,1128,5532
Dagsalgsrapport jan23.pdf,13,15,318,"54,35",6673,585,12278,734,13013
Dagsalgsrapport jan23.pdf,21,14,16,15,162,"45,37",2264,356,4990
Dagsalgsrapport jan23.pdf,14,17,261,"47,77",5472,546,11456,964,12420
Dagsalgsrapport jan23.pdf,21,16,12,"5,17",186,225,3599,255,3854
Dagsalgsrapport jan23.pdf,16,18,384,"55,41",4613,694,8325,604,8929
Dagsalgsrapport jan23.pdf,12,17,119,"32,91",2017,360,6128,1042,7170
Dagsalgsrapport jan23.pdf,17,19,410,"57,72",4923,711,8529,402,8931
Dagsalgsrapport jan23.pdf,12,18,68,"20,52",1084,330,5282,833,6114
Dagsalgsrapport jan23.pdf,16,20,297,"46,43",5930,639,12772,370,13142
Dagsalgsrapport jan23.pdf,20,19,223,"44,23",4235,504,9574,606,10181
Dagsalgsrapport jan23.pdf,19,21,269,"46,24",3228,582,6982,401,7382
Dagsalgsrapport jan23.pdf,12,20,243,"43,08",5838,565,13553,764,14317
Dagsalgsrapport jan23.pdf,24,22,255,"46,19",6376,552,13804,1091,14895
Dagsalgsrapport jan23.pdf,25,21,23,22,294,"47,64",2055,616,4314
Dagsalgsrapport jan23.pdf,7,24,421,"54,75",5887,768,10752,216,10968
Dagsalgsrapport jan23.pdf,14,23,98,"25,52",1958,384,7674,592,8266
Dagsalgsrapport jan23.pdf,20,25,210,"45,69",1892,460,4141,310,4451
Dagsalgsrapport jan23.pdf,9,24,152,"33,48",3353,455,10014,366,10381
Dagsalgsrapport jan23.pdf,22,26,316,"50,31",3160,628,6282,418,6699
Dagsalgsrapport jan23.pdf,10,25,108,"27,34",1516,396,5545,281,5826
Dagsalgsrapport jan23.pdf,14,27,211,"42,66",2749,496,6444,242,6686
Dagsalgsrapport jan23.pdf,13,26,158,"35,48",2849,446,8030,286,8315
Dagsalgsrapport jan23.pdf,18,28,377,"49,71",4900,758,9857,416,10273
Dagsalgsrapport jan23.pdf,13,27,62,"19,44",1367,320,7034,150,7184
Dagsalgsrapport jan23.pdf,22,29,266,"49,00",5324,543,10866,523,11389
Dagsalgsrapport jan23.pdf,20,28,30,29,171,"39,44",2400,435,6085
Dagsalgsrapport jan23.pdf,14,31,259,"49,05",3631,529,7403,1420,8823
Dagsalgsrapport jan23.pdf,14,30,320,"51,59",6713,620,13011,433,13444
Dagsalgsrapport jan23.pdf,21,31,-----------------------------------------------------------------,-----------------------------------------------------------------,163,"37,10",70550,439,190172
Dagsalgsrapport jan23.pdf,8,"-0,63",-1678,6,Rek,"-0,21",-403,-2,"-0,58"
Dagsalgsrapport jan23.pdf,31,2201,3,C+S,,,,,
Dagsalgsrapportapril23.pdf,1,Side,10:08,Kl.,5.03.26,Dato,LIS010,***,DAGSALGSRAPPORT
Dagsalgsrapportapril23.pdf,20,1,357,"57,07",13197,625,23123,754,23877
Dagsalgsrapportapril23.pdf,2,478,"63,42",7171,754,11308,1473,12781,15
Dagsalgsrapportapril23.pdf,1,3,2,409,"60,20",2862,679,4754,347
Dagsalgsrapportapril23.pdf,7,4,478,"57,91",11000,826,18995,1615,20610
Dagsalgsrapportapril23.pdf,23,3,398,"57,75",8749,689,15150,271,15422
Dagsalgsrapportapril23.pdf,22,5,433,"55,50",4325,779,7793,966,8759
Dagsalgsrapportapril23.pdf,10,4,372,"53,97",2976,689,5514,150,5664
Dagsalgsrapportapril23.pdf,8,6,425,"55,11",2123,770,3852,752,4604
Dagsalgsrapportapril23.pdf,5,5,347,"60,55",6240,573,10306,786,11092
Dagsalgsrapportapril23.pdf,18,7,6,407,"59,97",4888,679,8150,488
Dagsalgsrapportapril23.pdf,12,8,7,345,"57,02",7926,604,13902,1595
Dagsalgsrapportapril23.pdf,23,9,487,"65,52",6336,744,9670,303,9973
Dagsalgsrapportapril23.pdf,13,8,10,9,346,"54,92",8992,630,16374
Dagsalgsrapportapril23.pdf,26,11,10,401,"59,39",13643,676,22973,769
Dagsalgsrapportapril23.pdf,12,514,"62,14",8219,827,13227,927,14154,16
Dagsalgsrapportapril23.pdf,11,411,"57,17",7812,719,13665,161,13826,19
Dagsalgsrapportapril23.pdf,13,185,"42,21",18121,438,42934,714,43648,98
Dagsalgsrapportapril23.pdf,12,14,210,"43,03",20536,487,47722,1230,48952
Dagsalgsrapportapril23.pdf,13,15,223,"47,94",10245,465,21371,2345,23716
Dagsalgsrapportapril23.pdf,14,429,"58,21",10303,738,17701,713,18414,24
Dagsalgsrapportapril23.pdf,16,205,"44,06",19634,464,44562,3163,47726,96
Dagsalgsrapportapril23.pdf,15,17,16,18,270,"52,59",8099,513,15399
Dagsalgsrapportapril23.pdf,30,17,357,"59,82",15686,596,26221,1006,27227
Dagsalgsrapportapril23.pdf,19,335,"55,61",15097,603,27148,4281,31429,45
Dagsalgsrapportapril23.pdf,18,366,"61,27",18683,598,30495,666,31162,51
Dagsalgsrapportapril23.pdf,20,327,"55,03",15360,594,27912,3389,31301,47
Dagsalgsrapportapril23.pdf,19,370,"59,48",14418,622,24241,558,24799,39
Dagsalgsrapportapril23.pdf,21,315,"53,91",20799,585,38579,4788,43367,66
Dagsalgsrapportapril23.pdf,20,346,"59,78",11415,579,19094,1350,20443,33
Dagsalgsrapportapril23.pdf,22,322,"56,68",18668,568,32938,4076,37014,58
Dagsalgsrapportapril23.pdf,21,336,"58,87",18141,571,30813,1125,31938,54
Dagsalgsrapportapril23.pdf,23,332,"56,11",20277,592,36138,5615,41754,61
Dagsalgsrapportapril23.pdf,22,24,23,310,"56,37",5584,550,9906,214
Dagsalgsrapportapril23.pdf,18,25,459,"61,36",9180,748,14960,3533,18493
Dagsalgsrapportapril23.pdf,20,24,389,"59,47",8953,655,15054,651,15705
Dagsalgsrapportapril23.pdf,23,26,445,"58,95",3557,754,6034,1120,7154
Dagsalgsrapportapril23.pdf,8,25,192,"45,95",17868,418,38883,446,39329
Dagsalgsrapportapril23.pdf,27,532,"65,07",7442,817,11437,1566,13003,14
Dagsalgsrapportapril23.pdf,26,164,"44,70",12103,366,27075,677,27752,74
Dagsalgsrapportapril23.pdf,28,413,"59,09",8679,699,14687,2248,16935,21
Dagsalgsrapportapril23.pdf,27,224,"49,23",18786,454,38159,594,38753,84
Dagsalgsrapportapril23.pdf,29,438,"61,62",12695,710,20602,834,21436,29
Dagsalgsrapportapril23.pdf,28,245,"51,79",20589,473,39751,708,40459,84
Dagsalgsrapportapril23.pdf,30,495,"63,03",18304,785,29042,6267,35309,37
Dagsalgsrapportapril23.pdf,1,"-0,22",-1105,5,Rek,"-0,69",-3200,-17,"-0,52"
Dagsalgsrapportapril23.pdf,2,C+S,,,,,,,
Dagsalgsrapportapril24.pdf,1,Side,10:17,Kl.,5.03.26,Dato,LIS010,***,DAGSALGSRAPPORT
Dagsalgsrapportapril24.pdf,15,2 1,478,"57,91",11000,826,18995,1615,20610
Dagsalgsrapportapril24.pdf,23,3,1,433,"55,50",4325,779,7793,966
Dagsalgsrapportapril24.pdf,10,4,176,"41,24",7740,427,18767,5454,24222
Dagsalgsrapportapril24.pdf,2,425,"55,11",2123,770,3852,752,4604,5
Dagsalgsrapportapril24.pdf,5,189,"41,32",5680,458,13747,2414,16162,30
Dagsalgsrapportapril24.pdf,3,6,259,"44,41",4657,583,10486,522,11008
Dagsalgsrapportapril24.pdf,18,4,7,278,"52,69",5010,528,9509,1134
