År,Måned,Dag,Antall_par,Omsetning_sko,Omsetning_tilbehor,Omsetning_total,Dekningsgrad_prosent,Snittpris_sko,Filnavn
2023,Januar,1,19.0,12029.0,354.0,12383.0,44.21,633.0,Dagsalgsrapport jan23.pdf
2023,Januar,3,7.0,6586.0,1295.0,7882.0,55.55,941.0,Dagsalgsrapport jan23.pdf
2023,Januar,2,19.0,7982.0,751.0,8733.0,32.25,420.0,Dagsalgsrapport jan23.pdf
2023,Januar,4,21.0,15810.0,900.0,16710.0,49.41,753.0,Dagsalgsrapport jan23.pdf
2023,Januar,3,23.0,9262.0,418.0,9679.0,41.06,403.0,Dagsalgsrapport jan23.pdf
2023,Januar,5,13.0,9732.0,736.0,10468.0,54.24,749.0,Dagsalgsrapport jan23.pdf
2023,Januar,4,21.0,8911.0,639.0,9550.0,38.24,424.0,Dagsalgsrapport jan23.pdf
2023,Januar,6,13.0,8458.0,692.0,9150.0,47.08,651.0,Dagsalgsrapport jan23.pdf
2023,Januar,5,15.0,7201.0,642.0,7843.0,41.88,480.0,Dagsalgsrapport jan23.pdf
2023,Januar,7,25.0,14305.0,757.0,15062.0,51.37,572.0,Dagsalgsrapport jan23.pdf
2023,Januar,6,17.0,9902.0,1584.0,11486.0,44.04,582.0,Dagsalgsrapport jan23.pdf
2023,Januar,8,17.0,12106.0,1356.0,13462.0,47.15,712.0,Dagsalgsrapport jan23.pdf
2023,Januar,7,518.0,4159.0,541.0,10278.0,8.0,40.46,Dagsalgsrapport jan23.pdf
2023,Januar,19,11938.0,694.0,10406.0,1532.0,386.0,5787.0,Dagsalgsrapport jan23.pdf
2023,Januar,15,6244.0,437.0,6124.0,120.0,179.0,2504.0,Dagsalgsrapport jan23.pdf
2023,Januar,14,15180.0,718.0,14362.0,818.0,368.0,7369.0,Dagsalgsrapport jan23.pdf
2023,Januar,20,8879.0,481.0,8176.0,703.0,201.0,3424.0,Dagsalgsrapport jan23.pdf
2023,Januar,17,15410.0,666.0,13316.0,2094.0,329.0,6576.0,Dagsalgsrapport jan23.pdf
2023,Januar,20,6517.0,388.0,6201.0,316.0,160.0,2558.0,Dagsalgsrapport jan23.pdf
2023,Januar,16,7607.0,479.0,6227.0,1380.0,222.0,2886.0,Dagsalgsrapport jan23.pdf
2023,Januar,13,8501.0,464.0,7882.0,619.0,165.0,2807.0,Dagsalgsrapport jan23.pdf
2023,Januar,17,9439.0,661.0,8597.0,842.0,339.0,4408.0,Dagsalgsrapport jan23.pdf
2023,Januar,13,5532.0,339.0,4404.0,1128.0,115.0,1497.0,Dagsalgsrapport jan23.pdf
2023,Januar,13,13013.0,585.0,12278.0,734.0,318.0,6673.0,Dagsalgsrapport jan23.pdf
2023,Januar,21,4990.0,45.37,2264.0,356.0,16.0,162.0,Dagsalgsrapport jan23.pdf
2023,Januar,14,12420.0,546.0,11456.0,964.0,261.0,5472.0,Dagsalgsrapport jan23.pdf
2023,Januar,21,3854.0,225.0,3599.0,255.0,12.0,186.0,Dagsalgsrapport jan23.pdf
2023,Januar,16,8929.0,694.0,8325.0,604.0,384.0,4613.0,Dagsalgsrapport jan23.pdf
2023,Januar,12,7170.0,360.0,6128.0,1042.0,119.0,2017.0,Dagsalgsrapport jan23.pdf
2023,Januar,17,8931.0,711.0,8529.0,402.0,410.0,4923.0,Dagsalgsrapport jan23.pdf
2023,Januar,12,6114.0,330.0,5282.0,833.0,68.0,1084.0,Dagsalgsrapport jan23.pdf
2023,Januar,16,13142.0,639.0,12772.0,370.0,297.0,5930.0,Dagsalgsrapport jan23.pdf
2023,Januar,20,10181.0,504.0,9574.0,606.0,223.0,4235.0,Dagsalgsrapport jan23.pdf
2023,Januar,19,7382.0,582.0,6982.0,401.0,269.0,3228.0,Dagsalgsrapport jan23.pdf
2023,Januar,12,14317.0,565.0,13553.0,764.0,243.0,5838.0,Dagsalgsrapport jan23.pdf
2023,Januar,24,14895.0,552.0,13804.0,1091.0,255.0,6376.0,Dagsalgsrapport jan23.pdf
2023,Januar,25,4314.0,47.64,2055.0,616.0,23.0,294.0,Dagsalgsrapport jan23.pdf
2023,Januar,7,10968.0,768.0,10752.0,216.0,421.0,5887.0,Dagsalgsrapport jan23.pdf
2023,Januar,14,8266.0,384.0,7674.0,592.0,98.0,1958.0,Dagsalgsrapport jan23.pdf
2023,Januar,20,4451.0,460.0,4141.0,310.0,210.0,1892.0,Dagsalgsrapport jan23.pdf
2023,Januar,9,10381.0,455.0,10014.0,366.0,152.0,3353.0,Dagsalgsrapport jan23.pdf
2023,Januar,22,6699.0,628.0,6282.0,418.0,316.0,3160.0,Dagsalgsrapport jan23.pdf
2023,Januar,10,5826.0,396.0,5545.0,281.0,108.0,1516.0,Dagsalgsrapport jan23.pdf
2023,Januar,14,6686.0,496.0,6444.0,242.0,211.0,2749.0,Dagsalgsrapport jan23.pdf
2023,Januar,13,8315.0,446.0,8030.0,286.0,158.0,2849.0,Dagsalgsrapport jan23.pdf
2023,Januar,18,10273.0,758.0,9857.0,416.0,377.0,4900.0,Dagsalgsrapport jan23.pdf
